Label,Time_sec,FrameTime_ms,FPS,Batches_DrawCalls,MainThreadTime_ms,Memory_MB
CALIBRATION,0.00,1795.50,1,3718,1256.85,16.80
CALIBRATION,0.12,447.45,2,3718,313.21,17.94
CALIBRATION,0.62,6.01,166,142,2.50,19.24
CALIBRATION,1.13,6.00,167,142,2.87,14.28
CALIBRATION,1.63,6.29,159,142,3.32,14.94
CALIBRATION,2.13,5.76,174,142,2.60,16.10
CALIBRATION,2.64,6.11,164,142,2.64,17.91
CALIBRATION,3.14,5.86,171,142,2.65,19.96
CALIBRATION,3.64,6.12,163,143,2.69,15.67
CALIBRATION,4.14,6.73,149,141,3.38,16.30
CALIBRATION,4.65,6.15,163,142,2.44,17.34
CALIBRATION,5.15,7.10,141,141,3.08,18.70
CALIBRATION,5.65,6.07,165,141,3.05,20.15
NORMAL,6.16,7.53,133,142,3.33,15.80
NORMAL,6.66,6.85,146,141,2.41,16.52
NORMAL,7.18,17.56,57,141,2.55,17.66
NORMAL,7.68,7.23,138,141,3.20,18.88
NORMAL,8.18,8.01,125,121,3.06,20.20
NORMAL,8.68,8.18,122,124,3.28,15.96
NORMAL,9.20,24.57,41,124,2.55,16.61
NORMAL,9.70,7.94,126,126,2.77,17.34
NORMAL,10.20,7.35,136,135,3.85,18.48
NORMAL,10.71,8.87,113,117,3.91,19.69
NORMAL,11.22,8.20,122,103,2.76,15.98
NORMAL,11.72,9.56,105,94,2.75,16.55
NORMAL,12.23,8.18,122,70,3.94,17.25
NORMAL,12.74,24.17,41,61,2.34,18.34
NORMAL,13.25,8.50,118,61,2.21,19.68
NORMAL,13.75,6.65,150,60,3.07,16.01
NORMAL,14.26,7.94,126,60,2.46,16.69
CPU_STRESS,14.76,14.86,67,60,6.45,17.36
CPU_STRESS,15.27,10.54,95,60,6.38,18.19
CPU_STRESS,15.78,9.55,105,60,6.63,19.16
CPU_STRESS,16.30,22.28,45,60,5.68,20.27
CPU_STRESS,16.80,10.75,93,60,6.33,16.02
CPU_STRESS,17.30,10.86,92,79,6.68,16.74
CPU_STRESS,17.80,9.13,110,106,5.97,17.29
CPU_STRESS,18.31,19.06,52,114,5.55,18.04
CPU_STRESS,18.82,9.86,101,94,6.56,18.98
CPU_STRESS,19.32,11.50,87,88,6.55,19.95
CPU_STRESS,19.83,11.42,88,78,5.96,15.96
CPU_STRESS,20.33,14.58,69,74,7.41,16.39
CPU_STRESS,20.83,11.29,89,70,6.71,16.91
CPU_STRESS,21.34,12.54,80,108,7.71,17.51
CPU_STRESS,21.84,10.81,92,96,6.75,18.40
CPU_STRESS,22.35,11.11,90,79,6.16,19.37
CPU_STRESS,22.86,17.47,57,69,6.22,15.81
CPU_STRESS,23.36,9.60,104,60,5.94,16.10
CPU_STRESS,23.88,22.32,45,60,6.77,16.59
CPU_STRESS,24.39,11.95,84,60,5.78,17.16
CPU_STRESS,24.90,11.15,90,60,6.50,17.86
CPU_STRESS,25.40,10.81,92,60,6.30,18.98
CPU_STRESS,25.91,24.69,40,62,6.36,19.99
CPU_STRESS,26.41,10.64,94,60,6.14,15.94
NORMAL,26.92,7.13,140,52,2.26,16.55
NORMAL,27.42,6.62,151,54,2.52,17.40
NORMAL,27.92,7.54,133,58,2.35,18.63
NORMAL,28.43,7.98,125,97,2.55,20.12
NORMAL,28.93,7.11,141,89,3.13,16.12
NORMAL,29.44,5.89,170,89,2.08,16.95
NORMAL,29.94,5.41,185,89,1.64,18.14
NORMAL,30.44,7.02,142,89,2.35,19.67
